Player,Position,Country,Team,Signing_Bonus,Position_Group,Bonus_Tier
Diego Tornes,OF,Cuba,Braves,2497500,Outfield,$2M+
Kevin Alvarez,OF,Cuba,Astros,2000000,Outfield,$2M+
Alejandro Cruz,3B,Cuba,White Sox,2000000,Infield,$2M+
Raudy Reyes,RHP,Dominican Republic,,1797500,Pitcher,$1M-$1.99M
Darell Morel,INF,Dominican Republic,,1778600,Infield,$1M-$1.99M
Breyson Guedez,OF,Venezuela,,1500000,Outfield,$1M-$1.99M
Yulian Barreto,INF,Venezuela,,1118700,Infield,$1M-$1.99M
Juan Tomas,SS,Dominican Republic,,1100000,Infield,$1M-$1.99M
Daniel Hernandez,C,Venezuela,,1100000,Catcher,$1M-$1.99M
Juan Sanchez,SS,Dominican Republic,,997500,Infield,$500K-$999K
Alam Bruno,SS,Dominican Republic,,950000,Infield,$500K-$999K
Yilver De Paula,SS,Dominican Republic,,900000,Infield,$500K-$999K
Gabriel Rodriguez,OF,Venezuela,,900000,Outfield,$500K-$999K
Jose Ramirez,OF,Venezuela,,897500,Outfield,$500K-$999K
Ruben Castillo,OF,Dominican Republic,,875000,Outfield,$500K-$999K
Wandi Feliz,OF,Dominican Republic,,850000,Outfield,$500K-$999K
Enry Torres,C,Venezuela,,800000,Catcher,$500K-$999K
Carlos Benavides,C,Venezuela,,797500,Catcher,$500K-$999K
Elaineiker Coronado,SS,Venezuela,,797500,Infield,$500K-$999K
Luis Garcia,SS,Dominican Republic,,775000,Infield,$500K-$999K
Juan Rujano,INF,Panama,,750000,Infield,$500K-$999K
Rosniell De Paula,SS,Dominican Republic,,750000,Infield,$500K-$999K
Isaias Castillo,OF,Dominican Republic,,750000,Outfield,$500K-$999K
Kamuel Villar,SS,Dominican Republic,,750000,Infield,$500K-$999K
Elias Marrero,INF,Dominican Republic,,700000,Infield,$500K-$999K
Eliezer Alfonzo,SS,Venezuela,,700000,Infield,$500K-$999K
Isaac Garcia,OF,Venezuela,,700000,Outfield,$500K-$999K
Deivis Velasquez,C,Venezuela,,620000,Catcher,$500K-$999K
Maikol Rodriguez,OF,Cuba,,600000,Outfield,$500K-$999K
Sebastian Blanco,INF,Venezuela,,600000,Infield,$500K-$999K
Elias Perez,OF,Dominican Republic,,600000,Outfield,$500K-$999K
Kennew Blanco,INF,Venezuela,,597500,Infield,$500K-$999K
Orlando Patino,OF,Venezuela,,570000,Outfield,$500K-$999K
Anthony Abreu,SS,Dominican Republic,,550000,Infield,$500K-$999K
Ronny Suarez,CF,Venezuela,,550000,Outfield,$500K-$999K
Juan Brima,SS,Dominican Republic,,500000,Infield,$500K-$999K
Yorvit Diaz,SS,Dominican Republic,,500000,Infield,$500K-$999K
Hector Ramos,SS,Dominican Republic,,500000,Infield,$500K-$999K
Emmanuel Cedeno,INF,Dominican Republic,,500000,Infield,$500K-$999K
Angel Salio,INF,Dominican Republic,,500000,Infield,$500K-$999K
Miguel Hernandez,SS,Venezuela,,500000,Infield,$500K-$999K
Mayki De La Rosa,CF,Dominican Republic,,500000,Outfield,$500K-$999K
